,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,amapa,100,BR,1580270261,99,1.0,-52.0,72.73,2.04
378,kijang,91,KR,1580270268,54,35.24,129.21,51.8,4.7
379,tacna,90,PE,1580270763,77,-18.01,-70.25,73.4,5.82
380,juneau,90,US,1580270763,74,58.3,-134.42,37.99,14.99
381,algiers,100,DZ,1580270599,93,36.75,3.04,46.4,4.7
382,mayo,90,US,1580270377,52,38.89,-76.51,43.0,9.17
383,nantucket,90,US,1580270626,55,41.28,-70.1,37.99,3.36
384,coihaique,40,CL,1580270273,81,-45.58,-72.07,46.4,7.2
385,blythe,51,US,1580270764,40,33.61,-114.6,57.0,1.01
386,lodja,92,CD,1580270460,90,-3.48,23.43,70.74,2.33
387,bilma,100,NE,1580270648,8,18.69,12.92,64.15,7.85
388,awbari,0,LY,1580270244,24,26.59,12.78,58.05,11.16
389,kaeo,58,NZ,1580270571,90,-35.1,173.78,82.99,1.99
390,hokitika,69,NZ,1580270703,87,-42.72,170.97,63.1,11.18
391,karachev,90,RU,1580270764,100,53.12,34.99,30.2,8.95
392,saint-quentin,75,FR,1580270764,93,49.83,3.33,37.4,14.99
393,erzurum,75,TR,1580270765,85,40.0,41.5,19.4,2.24
394,rio%20de%20jesus,38,PA,1580270765,87,7.98,-81.16,76.5,1.63
395,morehead,90,US,1580270287,86,37.27,-87.18,35.01,6.93
396,camacha,20,PT,1580270295,77,33.08,-16.33,60.8,5.82
397,neftcala,1,AZ,1580270716,83,39.37,49.25,49.89,5.68
398,naze,75,JP,1580270765,55,28.37,129.48,64.4,12.75
399,caravelas,100,BR,1580270470,85,-17.71,-39.25,79.66,11.48
400,beloha,92,MG,1580270291,94,-25.17,45.05,70.0,6.6
401,pochutla,20,MX,1580270274,74,15.74,-96.47,78.8,11.39
402,batie,100,BF,1580270765,13,9.88,-2.92,70.79,4.36
403,canatlan,5,MX,1580270766,23,24.52,-104.78,50.0,5.82
404,port%20lincoln,0,AU,1580270671,25,-34.73,135.87,89.6,13.87
405,beroroha,0,MG,1580270766,83,-21.67,45.17,71.78,1.54
406,sakakah,22,SA,1580270766,61,29.97,40.21,48.2,13.87
407,sitka,90,US,1580270277,80,57.05,-135.33,39.2,17.22
408,sehithwa,100,BW,1580270766,53,-20.47,22.72,76.96,6.49
409,san%20cristobal,40,VE,1580270256,83,7.77,-72.22,77.0,2.24
410,zlobin,83,HR,1580270766,86,45.29,14.65,46.0,8.05
411,gresham,90,US,1580270767,81,45.5,-122.43,50.0,5.82
412,bafata,33,GW,1580270767,85,12.17,-14.75,65.01,2.86
413,ostersund,100,SE,1580270767,92,63.18,14.64,24.8,10.29
414,portland,90,US,1580270052,81,45.52,-122.68,50.0,5.82
415,puerto%20carreno,6,CO,1580270678,62,6.19,-67.49,86.0,5.82
416,natal,40,BR,1580270282,83,-5.79,-35.21,80.6,6.93
417,la%20romana,75,DO,1580270767,100,18.43,-68.97,73.4,4.12
418,misratah,0,LY,1580270767,56,32.38,15.09,59.9,7.45
419,kalmunai,65,LK,1580270768,72,7.42,81.82,79.61,11.61
420,dakar,13,SN,1580270768,77,14.69,-17.44,69.8,10.29
421,rocha,0,UY,1580270426,86,-34.48,-54.33,61.48,10.2
422,kenai,90,US,1580270399,85,60.55,-151.26,17.01,18.34
423,kudahuvadhoo,0,MV,1580270442,77,2.67,72.89,80.35,15.7
424,ilhabela,0,BR,1580270257,83,-23.78,-45.36,77.18,4.79
425,freetown,13,SL,1580270768,96,8.48,-13.23,72.55,2.1
426,mercedes,0,AR,1580270511,63,-34.65,-59.43,77.0,1.01
427,ugoofaaru,0,MV,1580270662,68,5.67,73.0,81.41,10.98
428,vazante,100,BR,1580270769,91,-17.99,-46.91,69.82,1.7
429,noumea,79,NC,1580270462,38,-22.28,166.46,91.4,16.11
430,venice,90,US,1580270539,72,27.1,-82.45,62.01,9.17
431,lishui,47,CN,1580270289,68,28.46,119.91,43.03,6.78
432,cockburn%20town,0,TC,1580270087,70,21.46,-71.14,77.67,8.41
433,tateyama,20,JP,1580270261,63,34.98,139.87,64.4,13.87
434,lac%20du%20bonnet,100,CA,1580270769,94,50.25,-96.06,14.0,4.88
435,fort%20saint%20james,94,CA,1580270625,97,54.43,-124.25,26.35,4.12
436,hofn,61,IS,1580270255,59,64.25,-15.21,38.52,15.23
437,deep%20river,90,CA,1580270769,78,46.1,-77.5,17.01,10.29
438,clarence%20town,75,AU,1580270456,74,-32.58,151.78,84.99,16.11
439,dingle,21,PH,1580270733,68,11.0,122.67,84.04,7.18
440,usinsk,71,RU,1580270770,98,65.99,57.53,-21.71,9.48
441,tagusao,49,PH,1580270770,66,9.19,117.81,83.62,6.69
442,bogorodskoye,91,RU,1580270770,96,56.55,37.88,21.97,5.21
443,kulunda,100,RU,1580270770,94,52.57,78.94,-8.68,14.25
444,bud,90,US,1580270299,100,39.45,-86.18,33.8,2.08
445,lichinga,99,MZ,1580270771,93,-13.31,35.24,67.1,2.8
446,ananindeua,40,BR,1580270771,94,-1.37,-48.37,75.2,3.36
447,bembereke,100,BJ,1580270771,11,10.23,2.66,68.0,5.93
448,vakhrushev,64,RU,1580270771,87,48.98,142.97,11.34,3.8
449,puerto%20escondido,20,MX,1580270550,74,15.85,-97.07,78.8,2.55
450,khovu-aksy,26,RU,1580270283,73,51.13,93.6,5.86,11.63
451,half%20moon%20bay,90,US,1580270239,87,37.46,-122.43,54.0,4.7
452,derbent,92,RU,1580270772,80,42.07,48.29,44.47,0.96
453,dali,45,CN,1580270772,54,25.7,100.18,48.61,2.82
454,krasnovishersk,100,RU,1580270772,98,60.41,57.08,-16.73,4.61
455,amuntai,85,ID,1580270772,74,-2.42,115.25,86.09,2.42
456,pampierstad,62,ZA,1580270772,19,-27.78,24.69,62.6,2.51
457,show%20low,1,US,1580270526,63,34.25,-110.03,30.2,3.24
458,carballo,75,ES,1580270282,87,43.21,-8.69,57.99,5.82
459,ukiah,1,US,1580270287,71,39.15,-123.21,51.8,4.7
460,namibe,100,AO,1580270773,77,-15.2,12.15,75.15,7.81
461,tokonou,100,GN,1580270773,15,9.65,-9.78,66.65,2.75
462,lar,6,IN,1580270773,76,26.2,83.97,61.75,8.46
463,likhoslavl,98,RU,1580270773,96,57.13,35.46,27.25,5.53
464,grootfontein,0,NA,1580270773,77,-19.57,18.12,59.0,3.36
465,okha,0,RU,1580270773,86,53.57,142.95,7.47,9.48
466,gasa,75,PS,1580270774,93,31.5,34.47,53.6,5.82
467,logansport,90,US,1580270774,92,40.75,-86.36,33.01,1.21
468,takoradi,59,GH,1580270774,90,4.88,-1.76,76.03,1.66
469,kysyl-syr,100,RU,1580270774,97,63.9,122.76,-11.47,8.88
470,praia,77,CV,1580270627,49,14.92,-23.51,73.4,14.99
471,salym,63,RU,1580270253,97,60.06,71.48,-19.95,5.93
472,ketchikan,90,US,1580270416,81,55.34,-131.65,46.4,24.16
473,te%20anau,76,NZ,1580270268,74,-45.42,167.72,57.11,9.86
474,barabai,85,ID,1580270774,74,-2.58,115.38,86.09,2.42
475,malangwa,31,NP,1580270774,52,26.86,85.56,65.73,5.12
476,saint%20anthony,90,US,1580270775,92,45.02,-93.22,19.4,1.74
477,lata,40,PT,1580270237,93,40.16,-8.33,57.99,5.82
478,ulaangom,71,MN,1580270775,97,49.98,92.07,-5.98,4.52
479,avera,1,US,1580270289,93,33.19,-82.53,46.0,2.62
480,marystown,100,CA,1580270775,87,47.17,-55.15,30.79,16.71
481,owensboro,90,US,1580270701,89,37.77,-87.11,34.0,6.93
482,dudinka,100,RU,1580270275,78,69.41,86.18,8.6,6.71
483,santa%20cruz,75,BO,1580270765,83,-17.8,-63.17,78.8,5.82
484,istria,32,RO,1580270775,93,44.57,28.72,37.4,8.05
485,russell,1,US,1580270775,59,32.35,-85.2,48.2,3.58
486,dwarka,0,IN,1580270776,53,22.24,68.97,68.72,12.1
487,kismayo,33,SO,1580270242,79,-0.36,42.55,80.69,20.54
488,los%20llanos%20de%20aridane,100,ES,1580270776,72,28.66,-17.92,60.8,6.93
489,palmer,90,US,1580270263,59,42.16,-72.33,35.6,9.17
490,rio%20gallegos,87,AR,1580270686,61,-51.62,-69.22,46.4,21.92
491,port%20hedland,83,AU,1580270769,59,-20.32,118.57,95.0,16.11
492,yar-sale,100,RU,1580270776,92,66.83,70.83,-6.77,20.31
493,kavaratti,20,IN,1580270776,69,10.57,72.64,82.4,9.89
494,bulgan,0,MN,1580270776,76,48.81,103.53,9.09,3.06
495,besikduzu,75,TR,1580270776,62,41.05,39.23,53.6,6.93
496,alofi,75,NU,1580270728,74,-19.06,-169.92,86.0,5.82
497,coria,82,ES,1580270777,94,39.99,-6.54,53.01,1.99
498,sabang,100,ID,1580270250,68,5.89,95.32,80.65,8.66
499,axim,59,GH,1580270266,90,4.87,-2.24,76.03,1.66
500,murgab,0,TM,1580270777,62,37.5,61.97,32.0,6.93
501,santa%20fe,100,AR,1580270777,62,-31.63,-60.7,80.01,4.0
502,lomovka,92,RU,1580270777,77,53.92,58.37,-0.4,8.95
503,mnogovershinnyy,0,RU,1580270295,73,53.94,139.92,7.59,5.26
504,taltal,0,CL,1580270671,90,-25.4,-70.48,62.87,2.46
505,makakilo%20city,20,US,1580270777,61,21.35,-158.09,80.6,9.17
506,acajutla,4,SV,1580270778,73,13.59,-89.83,81.05,5.84
507,hengyang,0,CN,1580270778,63,26.89,112.61,46.44,1.16
508,chotila,0,IN,1580270778,69,22.42,71.18,58.46,5.41
509,kasongo,100,CD,1580270778,93,-4.45,26.67,67.46,4.18
510,farafangana,17,MG,1580270778,75,-22.82,47.83,78.6,10.22
511,atambua,37,ID,1580270275,69,-9.11,124.89,84.33,6.6
512,sambava,49,MG,1580270243,90,-14.27,50.17,72.21,1.72
513,aitape,0,PG,1580270778,76,-3.14,142.35,82.85,12.71
514,camacupa,100,AO,1580270778,98,-12.02,17.48,61.93,2.91
515,waingapu,63,ID,1580270245,72,-9.66,120.26,84.04,8.03
516,deputatskiy,100,RU,1580270286,68,69.3,139.9,-21.23,3.94
517,caconda,100,AO,1580270779,93,-13.73,15.07,60.48,0.94
518,gwadar,0,PK,1580270779,38,25.12,62.33,66.76,18.32
519,ko%20samui,40,TH,1580270779,70,9.54,99.94,86.0,2.24
520,cam%20ranh,20,VN,1580270441,70,11.92,109.16,84.2,11.41
521,guarapari,75,BR,1580270720,94,-20.67,-40.5,79.0,8.05
522,pando,0,UY,1580270779,46,-34.72,-55.95,70.0,6.93
523,san%20carlos%20de%20bariloche,20,AR,1580269991,49,-41.15,-71.31,46.4,9.17
524,santa%20maria%20da%20vitoria,100,BR,1580270779,90,-13.39,-44.19,67.95,2.04
525,sinnamary,96,GF,1580270317,84,5.38,-52.95,80.24,18.59
526,derzhavinsk,0,KZ,1580270285,93,51.1,66.32,-9.45,5.32
527,dogondoutchi,0,NE,1580270780,9,13.64,4.03,67.41,9.91
528,isangel,90,VU,1580270246,66,-19.55,169.27,86.0,4.7
529,sumbe,100,AO,1580270780,77,-11.21,13.84,77.43,1.57
530,dukat,100,RU,1580270780,96,62.55,155.55,-15.34,5.1
531,dalmatovo,0,RU,1580270780,94,56.26,62.94,-14.39,7.7
532,yerbogachen,100,RU,1580270244,93,61.28,108.01,7.95,4.36
533,zhangye,0,CN,1580270781,15,38.93,100.45,30.36,5.32
534,bathsheba,75,BB,1580270286,78,13.22,-59.52,78.8,17.22
535,marsa%20matruh,100,EG,1580270254,68,31.35,27.25,60.37,18.68
536,ola,100,RU,1580270481,93,59.58,151.28,8.69,1.81
537,manicore,100,BR,1580270781,87,-5.81,-61.3,74.89,0.96
538,goleniow,90,PL,1580270781,96,53.56,14.83,37.0,9.17
539,poltavka,70,RU,1580270781,95,54.37,71.76,-10.64,11.43
540,flinders,20,AU,1580270217,45,-34.58,150.86,84.99,11.41
541,villa%20carlos%20paz,0,AR,1580270781,82,-31.42,-64.5,77.0,6.93
542,tanout,0,NE,1580270781,9,14.97,8.89,63.45,10.11
543,lethem,73,GY,1580270782,53,3.38,-59.8,85.17,12.08
544,papar,75,MY,1580270782,70,5.73,115.93,89.6,8.05
545,harindanga,90,IN,1580270782,93,22.04,88.32,66.2,5.82
546,komsomolskiy,0,UZ,1580270282,74,40.43,71.72,33.8,4.7
547,maragogi,44,BR,1580270428,72,-9.01,-35.22,80.98,11.61
548,khlevnoye,90,RU,1580270782,98,52.2,39.09,32.0,6.71
549,kitangari,100,TZ,1580270782,97,-10.65,39.33,70.86,2.42
550,peniche,75,PT,1580270782,100,39.36,-9.38,59.0,10.29
551,humberto%20de%20campos,100,BR,1580270783,88,-2.6,-43.46,78.33,4.63
552,kawalu,76,ID,1580270359,62,-7.38,108.21,84.79,3.13
553,yenagoa,97,NG,1580270783,94,4.92,6.26,74.14,1.92
554,ginir,98,ET,1580270783,87,7.13,40.7,58.64,0.47
555,baghdad,100,IQ,1580270761,62,33.34,44.4,51.8,11.41
556,shihezi,11,CN,1580270502,90,44.3,86.03,9.34,4.16
557,tessalit,0,ML,1580270248,20,20.2,1.01,66.76,9.64
558,dongsheng,64,CN,1580270283,74,39.82,109.98,22.21,9.31
559,ulaanbaatar,0,MN,1580270783,77,47.91,106.88,5.0,4.9
560,ljig,90,RS,1580270784,100,44.23,20.24,37.4,10.29
561,batagay,6,RU,1580270729,73,67.63,134.63,-26.46,4.07
562,jardim,0,BR,1580270784,91,-21.48,-56.14,72.09,4.81
563,miri,75,MY,1580270588,74,4.41,114.01,87.8,13.87
